alg,thread,m,n,shape,N,density,non_zero,time
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000873969
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000897430
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000909801
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000823010
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000862406
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000847525
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000852207
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000873716
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000869119
COO,32, 100, 100,1.000000, 10000, 0.250000,2500, 0.0000818737
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001610916
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001716939
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001736010
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001689641
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001663951
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001664514
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001623710
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001658537
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001604347
COO,32, 100, 100,1.000000, 10000, 0.500000,5000, 0.0001759437
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002637560
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002392718
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002648631
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002676411
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002521298
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002648189
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002558108
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002588952
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002664107
COO,32, 100, 100,1.000000, 10000, 0.750000,7500, 0.0002362197
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0003074987
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0003100282
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002978629
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002866360
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002681944
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002851326
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002681812
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002866824
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002588015
COO,32, 100, 100,1.000000, 10000, 1.000000,10000, 0.0002894048
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006677862
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006564269
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006811918
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006770201
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0007025741
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006776999
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006701576
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006766439
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006657076
COO,32, 100, 800,0.125000, 80000, 0.250000,20000, 0.0006829175
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011582451
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011714597
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011996445
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0010934506
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011362249
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011809505
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011838361
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011548134
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011568351
COO,32, 100, 800,0.125000, 80000, 0.500000,40000, 0.0011463492
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0016008215
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0017188346
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0016531265
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0015649812
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0017383495
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0017451764
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0017481757
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0017092166
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0016189466
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0018125944
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0016502289
COO,32, 100, 800,0.125000, 80000, 0.750000,60000, 0.0018475519
COO,32, 100, 800,0.125000, 80000, 1.000000,80000, 0.0022069414
COO,32, 100, 800,0.125000, 80000, 1.000000,80000, 0.0023563257
COO,32, 100, 800,0.125000, 80000, 1.000000,80000, 0.0024080985
COO,32, 100, 800,0.125000, 80000, 1.000000,80000, 0.0021954074
COO,32, 100, 800,0.125000, 80000, 1.000000,80000, 0.0022897722
COO,32, 100, 800,0.125000, 80000, 1.000000,80000, 0.0024514214
COO,32, 100, 1000,0.100000, 100000, 0.250000,25000, 0.0007777717
COO,32, 100, 1000,0.100000, 100000, 0.250000,25000, 0.0008405230
COO,32, 100, 1000,0.100000, 100000, 0.250000,25000, 0.0008360978
COO,32, 100, 1000,0.100000, 100000, 0.250000,25000, 0.0008424174
COO,32, 100, 1000,0.100000, 100000, 0.250000,25000, 0.0007675262
COO,32, 100, 1000,0.100000, 100000, 0.500000,50000, 0.0017726005
COO,32, 100, 1000,0.100000, 100000, 0.500000,50000, 0.0016782292
COO,32, 100, 1000,0.100000, 100000, 0.500000,50000, 0.0017974797
